2023-01-29 19:13:39,988 INFO    MainThread:87143 [wandb_setup.py:_flush():68] Configure stats pid to 87143
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_setup.py:_flush():68] Loading settings from /home/lume/.config/wandb/settings
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_setup.py:_flush():68] Loading settings from /home/lume/KARPATHY/nanoGPT/wandb/settings
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_setup.py:_flush():68] Applying login settings: {'api_key': '***REDACTED***'}
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_init.py:_log_setup():478] Logging user logs to /home/lume/KARPATHY/nanoGPT/wandb/run-20230129_191339-xwa0hbs6/logs/debug.log
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_init.py:_log_setup():479] Logging internal logs to /home/lume/KARPATHY/nanoGPT/wandb/run-20230129_191339-xwa0hbs6/logs/debug-internal.log
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_init.py:init():518] calling init triggers
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {'out_dir': 'out', 'eval_interval': 2000, 'log_interval': 1, 'eval_iters': 200, 'eval_only': False, 'always_save_checkpoint': True, 'init_from': 'scratch', 'wandb_log': True, 'wandb_project': 'owt', 'wandb_run_name': 'gpt2', 'dataset': 'openwebtext', 'gradient_accumulation_steps': 5, 'batch_size': 2, 'block_size': 512, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'dropout': 0.0, 'bias': True, 'learning_rate': 0.0006, 'max_iters': 600000, 'weight_decay': 0.01, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'min_lr': 6e-05, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'bfloat16', 'compile': False}
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_init.py:init():571] starting backend
2023-01-29 19:13:39,989 INFO    MainThread:87143 [wandb_init.py:init():575] setting up manager
2023-01-29 19:13:39,989 INFO    MainThread:87143 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-29 19:13:39,992 INFO    MainThread:87143 [wandb_init.py:init():582] backend started and connected
2023-01-29 19:13:39,994 INFO    MainThread:87143 [wandb_init.py:init():670] updated telemetry
2023-01-29 19:13:40,034 INFO    MainThread:87143 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-29 19:13:40,488 INFO    MainThread:87143 [wandb_run.py:_on_init():2121] communicating current version
2023-01-29 19:13:40,615 INFO    MainThread:87143 [wandb_run.py:_on_init():2125] got version response 
2023-01-29 19:13:40,615 INFO    MainThread:87143 [wandb_init.py:init():758] starting run threads in backend
2023-01-29 19:13:40,661 INFO    MainThread:87143 [wandb_run.py:_console_start():2101] atexit reg
2023-01-29 19:13:40,661 INFO    MainThread:87143 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-29 19:13:40,661 INFO    MainThread:87143 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-29 19:13:40,661 INFO    MainThread:87143 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-29 19:13:40,662 INFO    MainThread:87143 [wandb_init.py:init():798] run started, returning control to user process
2023-01-30 10:17:28,030 WARNING MsgRouterThr:87143 [router.py:message_loop():77] message_loop has been closed
